S.No,Hour,Car No.,Team,Drivers,Car,Category,Tyres,Laps,Total Time,Pit Stops,Best Lap Number,Best Lap Time,Best Lap Kph,Status
174,3,32,Inter Europol Competition,M. KVAMME / J. MAGNUSSEN / A. FJORDBACH,Oreca 07 - Gibson,2,2,34,02:56:40,4,31.0,03:42.4,220.6,1
1251,21,41,Team WRT,R. ANDRADE / L. DELATRAZ / R. KUBICA,Oreca 07 - Gibson,2,2,281,21:03:07,27,11.0,03:36.4,226.7,1
495,8,13,Tower Motorsports,S. THOMAS / R. TAYLOR / R. RAST,Oreca 07 - Gibson,2,2,19,01:34:25,3,10.0,03:39.1,223.9,2
957,16,37,COOL Racing,N. LAPIERRE / A. COIGNY / M. JAKOBSEN,Oreca 07 - Gibson,2,2,199,16:03:42,24,54.0,03:39.0,224.0,1
299,5,22,United Autosports,P. HANSON / F. ALBUQUERQUE / F. LUBIN,Oreca 07 - Gibson,2,2,53,05:06:44,6,11.0,03:37.8,225.2,1
262,5,93,Peugeot TotalEnergies,P. DI RESTA / M. JENSEN / J. VERGNE,Peugeot 9X8,1,1,58,05:04:28,6,10.0,03:30.1,233.5,1
685,12,94,Peugeot TotalEnergies,L. DUVAL / G. MENEZES / N. MÜLLER,Peugeot 9X8,1,1,139,12:02:46,13,10.0,03:29.7,234.0,1
30,1,14,Nielsen Racing,R. SALES / M. BECHE / B. HANLEY,Oreca 07 - Gibson,2,2,12,01:03:19,1,11.0,03:44.6,218.4,1
889,15,45,Algarve Pro Racing,G. KURTZ / J. ALLEN / C. BRAUN,Oreca 07 - Gibson,2,2,188,15:01:50,18,9.0,03:38.0,225.0,1
972,16,39,Graff Racing,R. LACORTE / G. VAN DER GARDE / P. PILET,Oreca 07 - Gibson,2,2,191,16:04:07,20,151.0,03:38.6,224.4,1
1067,18,30,Duqueine Team,N. JANI / R. BINDER / N. PINO,Oreca 07 - Gibson,2,2,237,18:03:18,27,236.0,03:38.2,224.8,1
1413,23,63,Prema Racing,D. PIN / D. KVYAT / M. BORTOLOTTI,Oreca 07 - Gibson,2,2,113,09:35:29,11,65.0,03:39.3,223.7,2
758,13,41,Team WRT,R. ANDRADE / L. DELATRAZ / R. KUBICA,Oreca 07 - Gibson,2,2,164,13:04:25,17,11.0,03:36.4,226.7,1
254,5,51,Ferrari AF Corse,A. PIER GUIDI / J. CALADO / A. GIOVINAZZI,Ferrari 499P,1,1,60,05:04:57,6,12.0,03:29.1,234.6,1
1301,21,14,Nielsen Racing,R. SALES / M. BECHE / B. HANLEY,Oreca 07 - Gibson,2,2,18,01:27:23,2,13.0,03:44.2,218.8,2
229,4,57,Kessel Racing,T. KIMURA / S. HUFFAKER / D. SERRA,Ferrari 488 GTE Evo,4,1,44,04:06:34,4,8.0,03:52.5,211.0,1
158,3,54,AF Corse,T. FLOHR / F. CASTELLACCI / D. RIGON,Ferrari 488 GTE Evo,4,1,37,03:13:58,3,8.0,03:52.1,211.3,1
1283,21,88,Proton Competition,H. TINCKNELL / D. YOUNT / J. RIED,Porsche 911 RSR - 19,4,1,170,13:57:05,13,147.0,03:51.8,211.6,2
1197,20,10,Vector Sport,R. CULLEN / G. AUBRY / M. KAISER,Oreca 07 - Gibson,2,2,263,20:00:52,25,11.0,03:37.7,225.3,1
