Category,Tyres,Pit Stops,Best Lap Kph,Best Lap Time
LMGTE Am,M,5,208.7,03:55.0
HYPERCAR,M,19,230.7,03:32.6
HYPERCAR,M,16,234.7,03:29.0
HYPERCAR,M,20,233.8,03:29.8
LMP2,G,14,222.8,03:40.2
LMP2,G,21,223.9,03:39.0
LMGTE Am,M,25,210.3,03:53.2
LMGTE Am,M,1,211.0,03:52.5
LMGTE Am,M,2,208.9,03:54.8
HYPERCAR,M,19,234.7,03:29.0
LMGTE Am,M,2,208.9,03:54.8
LMP2,G,13,225.2,03:37.8
LMP2,G,2,218.8,03:44.2
LMGTE Am,M,2,205.5,03:58.7
LMGTE Am,M,5,208.7,03:55.0
LMGTE Am,M,3,211.0,03:52.5
HYPERCAR,M,18,234.7,03:29.0
LMP2,G,11,225.3,03:37.7
HYPERCAR,M,0,230.4,03:32.9
LMP2,G,10,225.7,03:37.3
LMP2,G,15,223.6,03:39.4
LMGTE Am,M,2,208.9,03:54.8
HYPERCAR,M,4,233.5,03:30.1
LMGTE Am,M,1,208.4,03:55.4
LMGTE Am,M,15,209.1,03:54.6
LMP2,G,3,223.9,03:39.1
HYPERCAR,M,6,234.6,03:29.1
HYPERCAR,M,0,234.0,03:29.7
LMP2,G,19,224.6,03:38.4
LMP2,G,18,223.2,03:39.8
LMGTE Am,M,8,210.5,03:53.1
LMGTE Am,M,3,211.0,03:52.5
LMGTE Am,M,6,210.5,03:53.1
LMGTE Am,M,10,211.2,03:52.2
LMGTE Am,M,2,212.0,03:51.4
LMGTE Am,M,7,211.2,03:52.2
LMGTE Am,M,14,208.7,03:55.1
LMP2,G,1,218.9,03:44.1
LMGTE Am,M,2,212.0,03:51.4
LMGTE Am,M,15,208.9,03:54.9
LMGTE Am,M,2,208.9,03:54.8
HYPERCAR,M,7,234.7,03:29.0
LMP2,G,32,225.6,03:37.4
LMGTE Am,M,18,210.5,03:53.1
HYPERCAR,M,3,233.7,03:29.9
LMGTE Am,M,4,211.0,03:52.5
HYPERCAR,M,1,233.7,03:29.9
HYPERCAR,M,16,234.0,03:29.7
LMP2,G,3,225.7,03:37.3
LMP2,G,20,225.0,03:38.0
LMGTE Am,M,13,211.9,03:51.4
LMP2,G,24,225.3,03:37.7
LMP2,G,9,226.7,03:36.4
LMGTE Am,M,6,210.7,03:52.8
HYPERCAR,M,14,234.7,03:29.0
LMP2,G,11,225.9,03:37.1
LMP2,G,4,223.1,03:39.9
LMP2,G,10,225.4,03:37.6
HYPERCAR,M,19,233.5,03:30.1
HYPERCAR,M,29,233.8,03:29.8
HYPERCAR,M,19,230.7,03:32.6
LMP2,G,9,224.4,03:38.6
LMGTE Am,M,19,211.0,03:52.5
HYPERCAR,M,6,233.7,03:29.9
HYPERCAR,M,27,236.5,03:27.4
HYPERCAR,M,28,234.1,03:29.6
HYPERCAR,M,22,235.0,03:28.8
LMGTE Am,M,2,212.0,03:51.4
LMGTE Am,M,0,211.3,03:52.1
LMGTE Am,M,17,211.7,03:51.7
LMGTE Am,M,8,211.3,03:52.1
HYPERCAR,M,6,233.5,03:30.1
HYPERCAR,M,13,235.5,03:28.3
LMGTE Am,M,14,209.0,03:54.7
HYPERCAR,M,13,234.7,03:29.0
LMGTE Am,M,0,208.9,03:54.8
LMP2,G,14,222.8,03:40.2
HYPERCAR,M,19,230.7,03:32.6
LMP2,G,11,224.4,03:38.6
LMP2,G,13,225.2,03:37.8
LMGTE Am,M,13,212.1,03:51.3
INNOVATIVE CAR,G,18,212.4,03:50.9
LMP2,G,21,225.6,03:37.4
LMP2,G,27,226.9,03:36.2
LMP2,G,6,225.3,03:37.7
LMP2,G,19,225.3,03:37.7
LMP2,G,26,226.7,03:36.4
HYPERCAR,M,7,233.6,03:30.0
LMGTE Am,M,2,212.0,03:51.4
HYPERCAR,M,25,235.1,03:28.7
LMGTE Am,M,16,209.2,03:54.5
HYPERCAR,M,10,233.0,03:30.6
LMP2,G,10,225.3,03:37.7
LMP2,G,16,225.7,03:37.3
LMGTE Am,M,20,210.5,03:53.1
HYPERCAR,M,16,233.0,03:30.6
LMP2,G,23,225.3,03:37.7
LMGTE Am,M,3,211.2,03:52.2
LMP2,G,2,218.8,03:44.2
LMGTE Am,M,4,210.5,03:53.1
HYPERCAR,M,12,230.4,03:32.9
LMP2,G,11,225.0,03:38.0
LMP2,G,1,223.5,03:39.4
LMP2,G,10,224.0,03:39.0
LMGTE Am,M,21,211.9,03:51.5
LMP2,G,27,226.7,03:36.4
HYPERCAR,M,8,235.5,03:28.3
LMGTE Am,M,24,211.9,03:51.5
LMP2,G,1,224.5,03:38.5
LMP2,G,21,225.2,03:37.8
LMP2,G,12,225.0,03:38.0
HYPERCAR,M,5,234.0,03:29.7
LMGTE Am,M,7,208.9,03:54.9
LMGTE Am,M,8,210.5,03:53.1
LMP2,G,8,225.9,03:37.1
HYPERCAR,M,16,235.5,03:28.3
LMGTE Am,M,8,210.7,03:52.8
LMP2,G,21,225.7,03:37.3
LMGTE Am,M,8,211.0,03:52.5
HYPERCAR,M,13,235.5,03:28.3
HYPERCAR,M,11,233.0,03:30.6
HYPERCAR,M,7,233.7,03:29.9
LMP2,G,35,226.0,03:37.1
HYPERCAR,M,7,233.5,03:30.1
LMP2,G,2,218.8,03:44.2
LMGTE Am,M,5,208.3,03:55.4
HYPERCAR,M,2,233.0,03:30.6
LMGTE Am,M,13,211.6,03:51.8
HYPERCAR,M,7,233.7,03:29.9
LMP2,G,18,223.2,03:39.8
LMP2,G,13,224.0,03:39.0
LMGTE Am,M,12,211.3,03:52.1
LMP2,G,28,225.3,03:37.7
LMGTE Am,M,2,207.7,03:56.2
LMP2,G,26,226.3,03:36.8
LMP2,G,11,225.7,03:37.3
LMP2,G,31,226.9,03:36.2
LMP2,G,3,224.6,03:38.4
LMGTE Am,M,14,208.7,03:55.1
LMP2,G,10,225.2,03:37.8
HYPERCAR,M,15,234.0,03:29.7
LMGTE Am,M,9,208.9,03:54.9
HYPERCAR,M,17,234.7,03:29.0
LMGTE Am,M,21,209.0,03:54.7
LMP2,G,2,218.8,03:44.2
LMGTE Am,M,3,211.0,03:52.5
LMP2,G,25,226.1,03:37.0
LMGTE Am,M,14,209.0,03:54.7
LMP2,G,30,226.3,03:36.7
HYPERCAR,M,0,233.7,03:29.9
LMP2,G,27,225.0,03:38.1
HYPERCAR,M,18,234.8,03:28.9
HYPERCAR,M,9,233.7,03:29.9
LMP2,G,17,226.7,03:36.4
LMGTE Am,M,4,211.2,03:52.2
LMGTE Am,M,18,209.0,03:54.7
HYPERCAR,M,0,234.6,03:29.1
HYPERCAR,M,0,233.5,03:30.1
HYPERCAR,M,30,235.3,03:28.4
HYPERCAR,M,24,235.1,03:28.7
LMP2,G,33,226.5,03:36.6
HYPERCAR,M,10,233.7,03:29.9
HYPERCAR,M,13,234.0,03:29.7
HYPERCAR,M,18,233.7,03:29.9
LMP2,G,23,225.0,03:38.0
INNOVATIVE CAR,G,9,212.2,03:51.2
LMGTE Am,M,13,211.6,03:51.8
LMP2,G,12,224.0,03:39.0
LMP2,G,12,225.2,03:37.8
LMGTE Am,M,16,209.2,03:54.5
HYPERCAR,M,3,233.4,03:30.2
LMGTE Am,M,14,208.7,03:55.1
LMP2,G,18,224.4,03:38.6
LMP2,G,20,224.4,03:38.6
LMGTE Am,M,8,211.2,03:52.2
LMP2,G,20,225.2,03:37.8
HYPERCAR,M,18,233.8,03:29.8
HYPERCAR,M,25,235.7,03:28.1
LMP2,G,23,225.0,03:38.1
LMP2,G,18,225.0,03:38.1
LMGTE Am,M,10,211.2,03:52.2
LMP2,G,7,224.3,03:38.7
LMP2,G,13,226.7,03:36.4
LMGTE Am,M,4,208.7,03:55.0
LMP2,G,23,225.6,03:37.4
LMGTE Am,M,25,211.9,03:51.4
LMP2,G,17,225.3,03:37.7
HYPERCAR,M,28,234.9,03:28.8
LMGTE Am,M,2,208.9,03:54.8
LMP2,G,31,225.2,03:37.8
LMGTE Am,M,2,208.9,03:54.8
HYPERCAR H,M,25,235.5,03:28.3
LMP2,G,4,225.0,03:38.1
HYPERCAR,M,12,233.7,03:29.9
LMP2,G,15,223.6,03:39.4
HYPERCAR,M,24,233.0,03:30.6
LMGTE Am,M,14,209.0,03:54.7
HYPERCAR,M,1,235.5,03:28.3
HYPERCAR,M,13,234.6,03:29.1
