Hour,Category,Tyres,Pit Stops,Best Lap Time,Best Lap Kph,Status
1,1,1,0,12547,234.0,1
1,1,1,0,12541,234.6,1
1,1,1,0,12600,233.6,1
1,1,1,0,12549,233.7,1
1,1,1,0,12600,233.6,1
1,1,1,0,12601,233.5,1
1,1,1,0,12602,233.4,1
1,1,1,0,12601,233.5,1
1,1,1,1,12545,234.2,1
1,1,1,0,12547,234.0,1
1,1,1,0,12606,233.0,1
1,1,1,0,12729,230.4,1
1,2,2,1,13021,225.9,1
1,1,1,1,12602,233.4,1
1,2,2,1,12964,226.7,1
1,2,2,1,13023,225.7,1
1,2,2,1,13024,225.6,1
1,2,2,1,13027,225.3,1
1,2,2,1,13028,225.2,1
1,2,2,1,13028,225.2,1
1,1,1,1,12483,235.5,1
1,2,2,1,13080,225.0,1
1,2,2,1,13081,225.0,1
1,2,2,1,13140,224.0,1
1,2,2,1,13140,223.9,1
1,2,2,1,13085,224.5,1
1,2,2,1,13144,223.5,1
1,2,2,1,13145,223.5,1
1,2,2,1,13441,218.9,1
1,2,2,1,13446,218.4,1
1,2,2,1,13561,216.9,1
1,2,2,1,13023,225.7,1
1,2,2,1,13027,225.3,1
1,2,2,1,13081,225.0,1
1,3,2,0,13921,211.3,1
1,4,1,0,13864,211.9,1
1,4,1,0,13864,212.0,1
1,4,1,0,13921,211.3,1
1,2,2,1,13026,225.4,1
1,4,1,0,13925,211.0,1
1,4,1,0,13925,211.0,1
1,4,1,1,13922,211.2,1
1,4,1,1,13863,212.1,1
1,4,1,1,13982,210.4,1
1,4,1,1,13922,211.2,1
1,4,1,0,14048,208.9,1
1,4,1,1,14047,209.0,1
1,4,1,1,14049,208.9,1
1,4,1,1,14049,208.9,1
1,4,1,1,13988,209.8,1
1,2,2,1,13149,223.1,1
1,4,1,1,14101,208.6,1
1,4,1,1,14104,208.4,1
1,2,2,1,13141,223.9,1
1,4,1,0,13981,210.5,1
1,4,1,1,14282,205.9,1
1,4,1,1,14403,204.1,1
1,4,1,1,14400,204.4,1
1,4,1,1,14287,205.5,1
1,1,1,1,12604,233.1,1
1,2,2,0,13742,214.0,1
1,1,1,1,12905,224.2,1
2,1,1,1,12602,233.4,1
2,1,1,1,12601,233.5,1
2,1,1,1,12549,233.7,1
2,1,1,2,12547,234.0,1
2,1,1,3,12545,234.2,1
2,1,1,2,12600,233.6,1
2,1,1,2,12600,233.6,1
2,1,1,2,12548,233.8,1
2,1,1,2,12541,234.6,1
2,1,1,2,12547,234.0,1
2,1,1,2,12601,233.5,1
2,1,1,2,12606,233.0,1
2,1,1,3,12729,230.4,1
2,1,1,3,12483,235.5,1
2,2,2,2,12964,226.7,1
2,2,2,3,13024,225.6,1
2,2,2,2,13023,225.7,1
2,2,2,2,13027,225.3,1
2,2,2,2,13027,225.3,1
2,2,2,3,13140,223.9,1
2,2,2,3,13087,224.3,1
2,2,2,2,13021,225.9,1
2,2,2,2,13081,225.0,1
2,2,2,2,13028,225.2,1
2,2,2,2,13081,225.0,1
2,2,2,2,13023,225.7,1
2,2,2,3,13144,223.6,1
2,2,2,3,13028,225.2,1
2,2,2,3,13084,224.6,1
2,2,2,3,13140,224.0,1
2,2,2,3,13381,219.9,1
2,1,1,3,12604,233.1,1
2,2,2,2,13149,223.1,1
2,2,2,2,13026,225.4,1
2,2,2,2,13080,225.0,1
2,2,2,3,13561,216.9,1
2,4,1,1,13864,211.9,1
2,4,1,2,13922,211.2,1
2,4,1,2,14049,208.9,1
2,4,1,2,13981,210.5,1
2,3,2,1,13921,211.3,1
2,4,1,2,13921,211.3,1
2,4,1,2,14049,208.9,1
2,4,1,2,14047,209.0,1
2,4,1,2,13988,209.8,1
2,4,1,2,14100,208.7,1
2,4,1,2,13922,211.2,1
2,4,1,2,13864,212.0,1
2,4,1,1,13925,211.0,1
2,4,1,2,13925,211.0,1
2,4,1,2,14101,208.6,1
2,4,1,2,13981,210.5,1
2,4,1,2,14403,204.1,1
2,4,1,2,14287,205.5,1
2,2,2,2,13742,214.0,1
2,4,1,3,14286,205.6,1
2,4,1,3,13863,212.1,1
2,4,1,2,14162,207.7,1
2,4,1,2,14048,208.9,1
2,2,2,3,13141,223.9,1
2,2,2,2,13442,218.8,1
2,1,1,1,12906,227.6,1
3,1,1,4,12540,234.7,1
3,1,1,4,12541,234.6,1
3,1,1,4,12547,234.0,1
3,1,1,5,12545,234.2,1
3,1,1,4,12600,233.6,1
3,1,1,3,12602,233.4,1
3,1,1,4,12547,234.0,1
3,1,1,4,12600,233.6,1
3,1,1,4,12601,233.5,1
3,1,1,3,12549,233.7,1
3,1,1,3,12601,233.5,1
3,1,1,4,12606,233.0,1
3,1,1,4,12483,235.5,1
3,2,2,3,13023,225.7,1
3,2,2,4,13081,225.0,1
3,2,2,5,13024,225.6,1
3,2,2,4,13027,225.3,1
3,2,2,4,13027,225.3,1
3,2,2,4,13081,225.0,1
3,2,2,5,13087,224.3,1
3,2,2,6,13140,223.9,1
3,2,2,4,12964,226.7,1
3,1,1,4,12601,233.5,1
3,2,2,4,13381,219.9,1
3,2,2,5,13028,225.2,1
3,2,2,4,13021,225.9,1
3,2,2,4,13023,225.7,1
3,2,2,5,13201,222.9,1
3,2,2,4,13026,225.4,1
3,2,2,4,13080,225.0,1
3,2,2,4,13149,223.1,1
3,2,2,5,13140,224.0,1
3,2,2,5,13144,223.6,1
3,4,1,3,13921,211.3,1
